evidence_layer	target	cohort_or_dataset	direction	patient_level_consistency	permutation_or_FDR	CellChat_support	spatial_ecology_support	evidence_grade	interpretation
Spatial ecology	EPAS1	GSE282302	EPAS1-high > EPAS1-low	14/14 patients for myeloid and T/NK programs	patient sign test reported in spatial ecology output	indirect	median delta myeloid=0.070; T/NK=0.089	B	immune neighborhood context for the EPAS1 axis; CAF association unstable
MR primary	EPAS1	GTEx v8 -> PDAC GWAS	not estimable	0 genome-wide GTEx instruments	failed instrument/outcome-overlap gate	not applicable	not applicable	D	no causal MR claim; report as an explicit negative gate
MR orthogonal	TACC1; HERPUD1	BLUEPRINT/Lepik -> PDAC GWAS	exploratory only	cis signals present but tissue/outcome mismatch	no primary valid instrument set	not applicable	not applicable	C	sensitivity evidence only; not used to establish causality
Protein abundance	TACC1; MARCKS; HERPUD1	CPTAC-PAAD	detected	140, 140, and 93 samples non-missing	not applicable	not applicable	orthogonal to spatial context	B	protein-layer detectability supports biological assayability
Protein abundance	EPAS1	HPA	protein evidence; tissue/cell specificity not detected	evidence at protein level	not applicable	not applicable	not applicable	C	protein existence is supported, but localization evidence is weak
Clinical protein survival	TACC1	CPTAC-PAAD	higher protein associated with outcome	n=134; 76 events	continuous Cox p=0.018; median split p=0.334	not applicable	not applicable	B	continuous association is supportive but requires external validation
DepMap CRISPR	EPAS1; MARCKS; HERPUD1; TACC1	47 PDAC cell models	weak dependency	strong-dependency fraction=0 for all four	not applicable	not applicable	not applicable	D	does not support a robust tumor-cell autonomous dependency
PRISM pharmacology	Y-39983; triclabendazole	PDAC cell-line subset	association not significant	n=33-36; all FDR > 0.70	not applicable	not applicable	not applicable	D	in-vitro drug-response association is not reproducible enough for promotion
Drug-response ML	Y-39983; triclabendazole	PRISM + molecular features	no predictive gain	100x repeated 5-fold CV; median R2 < 0; retention gate failed	outer-CV gate failed	not applicable	not applicable	D	SHAP/ML retained as transparent negative sensitivity analysis
Virtual perturbation	EPAS1	GSE154778/GSE155698/GSE212966	KO/OE alters endothelial/angiogenesis programs	endothelial program significant in 3/3 KO datasets	multi-dataset program FDR gate	not applicable	not applicable	B	multi-dataset computational perturbation supports mechanistic prioritization
DrugReflector	EPAS1	LINCS signatures; composite/endothelial strata	reverse signature recurrence	Y-39983 and triclabendazole recurrent in 2/2 strata	recurrent in 2/2 strata	not applicable	not applicable	B	prioritization evidence for hypothesis generation
Molecular docking	EPAS1	5 PAS-B conformers	favorable predicted binding	Y-39983 and triclabendazole stable across 5/5 conformers	5/5 co-crystal RMSD QC pass	not applicable	not applicable	B	structure-supported computational evidence; not direct binding validation
Targeted external survival	EPAS1	GSE21501	no survival association	102 eligible samples; 66 events	EPAS1 Cox HR=0.914, P=0.483; endothelial-program HR=0.972, P=0.876	not applicable	not applicable	D	independent clinical-stage negative gate; EPAS1 is not promoted as a validated prognostic biomarker
