file	panels	row_unit	description	upstream_source	rows	columns	dropped_local_path_columns	sha256
source_data/supplementary/S07_S24_docking_contacts.tsv	S7,S14,S24	structure-compound-contact	Geometry-based docking contact candidates.	analysis/13_virtual_perturbation/docking/EPAS1_multiconformer/final_exhaustiveness16/final_contact_by_conformer.tsv	15	6	none	6643766e3a3e356c0fbb2e29656a78287b079edf3b1b2f0a0273dd066fd4b3b0
source_data/supplementary/S08_mr_instrument_gate.tsv	S8	instrument assessment	MR instrument availability and promotion gate.	analysis/11_methodology_review/supplemental_gate/MR_instrument_gate_summary.tsv	3	13	none	98e84f52647f4a343399a49205bb242ce8b74869eeaee1d072aa70fbf3bb372b
source_data/supplementary/S10_scRNA_immune_correlations.tsv	S10	cohort association	Discovery-cohort immune correlations.	analysis/12_functional_immune/scRNA_endothelial_immune_correlations_by_dataset.tsv	2	6	none	af4d23399278432b7d7edc48eda8f0f33d871fc33da170fa4ead566aaef2322f
source_data/supplementary/S10_hallmark_gsea.tsv	S10	gene set	TCGA Hallmark GSEA results.	analysis/12_functional_immune/TCGA_program_correlated_Hallmark_GSEA.tsv	26	9	none	827390264e2b1fdb7fd9a5787f7b811ca755024da6584014e1f3869e04a3af23
source_data/supplementary/S10_wgcna_module_traits.tsv	S10	module-trait association	TCGA WGCNA module-trait correlations.	analysis/12_functional_immune/WGCNA/TCGA_WGCNA_module_trait_correlations.tsv	165	5	none	6abb0d20010982b1fbf2c48214eeccd99c911ada797f57c676e8f3c24efc7359
source_data/supplementary/S11_tcga_qc.tsv	S11	TCGA sample	TCGA primary-tumor quality-control values.	analysis/01_tcga_qc/TCGA-PAAD_primary_tumor_qc.tsv	178	5	file_id;file_name	3d35cd8487998f31b3920d1c7df30f89cf6a609c4d86d339be74ce170d884ba6
source_data/supplementary/S12_S26_GSE282302_roi_anchor.tsv	S12,S21,S26	ROI	GSE282302 image-resolved spatial anchor results.	analysis/09_spatial_validation/GSE282302/GSE282302_ROI_spatial_anchor_results.tsv	108	15	none	1c551b71d3fc49bac71ac7263323d257bb60f53154183303264a959fa2488043
source_data/supplementary/S13_S18_de_concordance.tsv	S13,S18,S19	cell-type/cohort result	Cross-method pseudobulk differential-expression concordance.	analysis/06_pseudobulk_DE/celltype_DE_concordance.tsv	17	9	none	cad730a57e9d26b783bbd6b12ddb0fda6091b7150282369a9593eef2cbf79cb4
source_data/supplementary/S13_S19_target_prioritization.tsv	S13,S19	candidate target	Endothelial target prioritization summary.	analysis/08_program_validation/endothelial_target_prioritization.tsv	26	19	none	c52b5fdab352983c59ef86577a1709060bc3ff5359fcea33ea12f5c345a92246
source_data/supplementary/S13_pathway_gate.tsv	S13	pathway	Recurrent endothelial DE pathway gate.	analysis/15_priority_figures/S22_endothelial_DE_GO_KEGG_recurrent.tsv	10	5	none	74f388f086c4f600892f45b4ad36e71526187eb333341e07f096cf53a00f1e71
source_data/supplementary/S15_copykat_sample_summary.tsv	S15	sample/cell-type summary	Exploratory CopyKAT/CNV sample summary.	analysis/04_cnv_copykat/PDAC_copykat_all_sample_summary.tsv	46	8	none	39d82f439aa1cfff849bdb191ce58738db717c0df3dc45e8baaffd9eab4ab946
source_data/supplementary/S15_S17_lineage_score_summary.tsv	S15,S17	patient-lineage score	Patient-level annotated lineage-score summary supporting annotation displays.	analysis/03_scrna_annotation/PDAC_scRNA_patient_lineage_restricted_ecology.tsv	50	20	none	3f5acd6fb4b7feca76efc35be30bd5a7a09ea4d16b3d91766a0ad0974964f57a
source_data/supplementary/S20_GSE62452_candidate_results.tsv	S20,S25	gene contrast	Paired GSE62452 candidate-gene validation.	analysis/08_program_validation/GSE62452/GSE62452_paired_candidate_gene_results.tsv	34	4	none	32ac54558cf2cca036c8f2646dfcc1c52a9ea6239491acc0cb2647b61a4834e5
source_data/supplementary/S20_GSE71729_candidate_results.tsv	S20,S25	gene contrast	GSE71729 primary-versus-normal candidate-gene validation.	analysis/08_program_validation/GSE71729/GSE71729_primary_vs_normal_candidate_gene_results.tsv	33	4	none	7d4a4bb119f448573b34318089b1697c651c8a17e882d327cbd3f6f39430bbe1
source_data/supplementary/S21_spatial_ecology_patient.tsv	S21	patient	Patient-level unadjusted spatial ecology results.	analysis/09_spatial_validation/GSE282302/spatial_ecology/GSE282302_spatial_ecology_patient.tsv	14	9	none	c360a047b222b18c8af5ec7106afff48af5e4d28df62455a522fdab5461cf2c8
source_data/supplementary/S22_ANGPT2_cellchat_edges.tsv	S22,S29	inferred candidate edge	Focused ANGPT2 CellChat results; computational inference.	analysis/17_P0_reinforcement/ANGPT2_CellChat_candidate_edges.tsv	3	7	none	b1bdfba2e26719668529e2165920f4f091ff6b0b5a175e69ff51f3a7c782b78c
source_data/supplementary/S23_drugreflector_top50.tsv	S23	compound/stratum result	DrugReflector reverse-signature ranking.	analysis/13_virtual_perturbation/drugreflector/drugreflector_top50.tsv	800	7	none	55315266531c834e6cbf8e73acec8bc98108280598121a39fbac43eb98523de0
source_data/supplementary/S25_bulk_validation_programs.tsv	S20,S25	program contrast	GSE62452 paired program results.	analysis/08_program_validation/GSE62452/GSE62452_paired_program_results.tsv	2	5	none	4c9015b0528a739061c83d14ea9607a3ad8cad7958623fc105b18a69dabca77e
source_data/supplementary/S25_GSE71729_program_contrasts.tsv	S20,S25	program contrast	GSE71729 program contrasts.	analysis/08_program_validation/GSE71729/GSE71729_program_contrasts.tsv	6	7	none	04b006b3cd375129269f4dd0871b6ece657b307353c2984b283a250ef16a5f45
source_data/supplementary/S26_GSE297144_anchor.tsv	S26	spatial sample	GSE297144 patient/sample spatial anchor results.	analysis/09_spatial_validation/GSE297144/GSE297144_patient_spatial_anchor_results.tsv	8	7	none	b5bb9caab37419572f77e47cb69c7fb1be1994fda9e631b94c7f770b6a8ef4fa
source_data/supplementary/S27_virtual_ko_top_genes.tsv	S27	cohort-gene result	Virtual EPAS1 knockout gene-level audit.	analysis/13_virtual_perturbation/closed_loop/supplement_gene_level/EPAS1_KO_top_genes_by_dataset.tsv	45	9	none	d4e796c8593bad02150b28ccbc20e3f36a26f983de445fa9375751a076630890
source_data/supplementary/S27_virtual_ko_rank_summary.tsv	S27	gene	Cross-dataset virtual knockout rank summary.	analysis/13_virtual_perturbation/closed_loop/supplement_gene_level/EPAS1_KO_cross_dataset_rank_summary.tsv	267	5	none	df51740098c37c9d97bd06e7e526cdd4d31c9abbcd9d5b8e2482ebbb7b68c5aa
source_data/supplementary/S28_independent_localization.tsv	S28	independent cohort	GSE202051 endothelial localization summary.	analysis/18_external_strengthening/GSE202051_independent_localization_summary.tsv	1	16	none	6276a1a3280801bcc2009bcd23c3b61f771dabcef0e6bc2688453dca6eaf6094
source_data/supplementary/S30_immune_receiver_statistics.tsv	S30	paired endpoint	GSE205049 paired immune-receiver sensitivity statistics.	analysis/20_GSE205049_immune_receiver/GSE205049_immune_receiver_paired_statistics.tsv	8	13	none	2f8dd459cc8fe3046ba6007b1294d25629c9a334385afad50a0380744b4cdba7
source_data/supplementary/S30_immune_receiver_patient_data.tsv	S30	patient-endpoint summary	GSE205049 patient-level immune-receiver values.	analysis/20_GSE205049_immune_receiver/GSE205049_immune_receiver_patient_pseudobulk.tsv	124	6	none	1ad55c368045d04dd4317c3836f247011d36d5ff08dd08fe31823b532c7db607
source_data/supplementary/S31_directionality_audit.tsv	S31	evidence row	Directionality audit across evidence layers.	analysis/21_revision_strengthening/EPAS1_directionality_audit.tsv	24	8	none	8666ffd0eb35453ed7318066b26033a8e1d81949e103f32a832f248758a2a6a1
source_data/supplementary/S32_conditional_patient_coefficients.tsv	S32	patient-outcome coefficient	Within-patient conditional spatial model coefficients.	analysis/21_revision_strengthening/EPAS1_spatial_conditional_model_patient_coefficients.tsv	42	8	none	04be39fa430f4ae5a878ff572216d1ae33ecacb5ba7dfc9a0be8fbbc84faab1e
source_data/supplementary/S32_GSE297144_anchor_control.tsv	S32	sample coefficient	GSE297144 endothelial-anchor control.	analysis/21_revision_strengthening/EPAS1_spatial_conditional_model_GSE297144_anchor_control.tsv	8	8	none	4c0a0aac1effec22b2beb88c3ff793c28434d22f0376f8c159a514cec4b5ff04
source_data/supplementary/Supplementary_Table_S1_data_resources.tsv	Supplementary Table	varies by source_table	Cohort accession, resource role, and intended inferential unit.	metadata/public_data_manifest.tsv	18	7	none	4d58a1878232ab2d1f8023104623793c2c47a4c0141a2cf6a12d6bafc0107e4d
source_data/supplementary/Supplementary_Table_S2_pseudobulk_and_candidates.tsv	Supplementary Table	varies by source_table	Patient/sample-level pseudobulk metadata and candidate convergence.	analysis/05_pseudobulk/PDAC_patient_pseudobulk_metadata_all.tsv; analysis/06_pseudobulk_DE/celltype_DE_concordance.tsv; analysis/08_program_validation/endothelial_target_prioritization.tsv	321	36	none	fe09185e6e5e7f54832a9df7805b8bb09add8bc4af9964d4f94c90b63a2d27ce
source_data/supplementary/Supplementary_Table_S3_spatial_and_interface.tsv	Supplementary Table	varies by source_table	Spatial, SecAct, CellChat, and conditioned-model outputs; inference units are explicit.	analysis/09_spatial_validation/GSE282302/GSE282302_patient_spatial_anchor_results.tsv; analysis/09_spatial_validation/SecAct/final_evidence_matrix.tsv; analysis/17_P0_reinforcement/ANGPT2_CellChat_candidate_edges.tsv; analysis/21_revision_strengthening/EPAS1_spatial_conditional_model_summary.tsv	47	35	source_file	20f177e2d91afa631ceb78d1e7ee65ec975786def2862ea74708f809cbb08e8a
source_data/supplementary/Supplementary_Table_S4_virtual_perturbation.tsv	Supplementary Table	varies by source_table	Signed virtual-perturbation proxy responses and network-significance summaries.	analysis/21_revision_strengthening/EPAS1_virtual_perturbation_signed_program_responses.tsv; analysis/13_virtual_perturbation/virtual_perturbation_network_program_summary.tsv	752	17	none	c5f5eb584096baa9bc04dd693d61ae59a53322cd3abd5cd271ad812c3f7cb629
source_data/supplementary/Supplementary_Table_S5_validation_boundaries.tsv	Supplementary Table	varies by source_table	MR, survival, protein, dependency/pharmacology, and machine-learning boundary analyses.	analysis/11_methodology_review/supplemental_gate/MR_instrument_gate_summary.tsv; analysis/08_program_validation/GSE21501/GSE21501_EPAS1_external_survival.tsv; analysis/11_methodology_review/CPTAC_PAAD/CPTAC_protein_survival_cox.tsv; analysis/11_methodology_review/DepMap_PRISM_pharmacology/DepMap_CRISPR_PRISM_association_results.tsv; analysis/14_prediction/epas1_survival_ml/survival_model_performance.tsv	23	31	none	6fbaf921fc35dfca0ca9188fc70104390bacb9fa24a84835ff03748aa4092464
source_data/supplementary/Supplementary_Table_S6_pharmacology_and_docking.tsv	Supplementary Table	varies by source_table	DrugReflector, PRISM, docking, and geometry-based contact summaries.	analysis/13_virtual_perturbation/drugreflector/drugreflector_top50.tsv; analysis/11_methodology_review/PRISM20Q2/PRISM20Q2_EPAS1_candidate_drug_results.tsv; analysis/13_virtual_perturbation/docking/EPAS1_multiconformer/final_exhaustiveness16/final_exhaustiveness16_summary.tsv; analysis/13_virtual_perturbation/docking/EPAS1_multiconformer/final_exhaustiveness16/final_contact_by_conformer.tsv	827	31	log_file;pose_file	9fd1c02f2512e0fb5851de5942edaae65989bfa2878c8348bcf15984c41aecee
